26.7713, 25.9205, 25.0409, 26.7713, 25.9205, 25.0409
26.7682, 25.9268, 25.0376, 26.7682, 25.9268, 25.0376
26.7651, 25.9331, 25.0344, 26.7651, 25.9331, 25.0344
26.7620, 25.9393, 25.0313, 26.7620, 25.9393, 25.0313
26.7589, 25.9456, 25.0281, 26.7589, 25.9456, 25.0281
26.7557, 25.9519, 25.0250, 26.7557, 25.9519, 25.0250
26.7524, 25.9582, 25.0220, 26.7524, 25.9582, 25.0220
26.7492, 25.9644, 25.0190, 26.7492, 25.9644, 25.0190
26.7459, 25.9707, 25.0160, 26.7459, 25.9707, 25.0160
26.7426, 25.9769, 25.0130, 26.7426, 25.9769, 25.0130
26.7392, 25.9832, 25.0101, 26.7392, 25.9832, 25.0101
26.7358, 25.9894, 25.0072, 26.7358, 25.9894, 25.0072
26.7324, 25.9957, 25.0044, 26.7324, 25.9957, 25.0044
26.7290, 26.0019, 25.0016, 26.7290, 26.0019, 25.0016
26.7255, 26.0082, 24.9988, 26.7255, 26.0082, 24.9988
26.7220, 26.0144, 24.9961, 26.7220, 26.0144, 24.9961
26.7184, 26.0206, 24.9934, 26.7184, 26.0206, 24.9934
26.7149, 26.0269, 24.9908, 26.7149, 26.0269, 24.9908
26.7113, 26.0331, 24.9881, 26.7113, 26.0331, 24.9881
26.7076, 26.0393, 24.9856, 26.7076, 26.0393, 24.9856
26.7039, 26.0455, 24.9830, 26.7039, 26.0455, 24.9830
26.7002, 26.0517, 24.9805, 26.7002, 26.0517, 24.9805
26.6965, 26.0579, 24.9780, 26.6965, 26.0579, 24.9780
26.6927, 26.0641, 24.9756, 26.6927, 26.0641, 24.9756
26.6889, 26.0702, 24.9732, 26.6889, 26.0702, 24.9732
26.6851, 26.0764, 24.9709, 26.6851, 26.0764, 24.9709
26.6813, 26.0826, 24.9686, 26.6813, 26.0826, 24.9686
26.6774, 26.0887, 24.9663, 26.6774, 26.0887, 24.9663
26.6735, 26.0949, 24.9640, 26.6735, 26.0949, 24.9640
26.6695, 26.1010, 24.9618, 26.6695, 26.1010, 24.9618
26.6655, 26.1071, 24.9597, 26.6655, 26.1071, 24.9597
26.6615, 26.1132, 24.9575, 26.6615, 26.1132, 24.9575
26.6575, 26.1194, 24.9555, 26.6575, 26.1194, 24.9555
26.6534, 26.1255, 24.9534, 26.6534, 26.1255, 24.9534
26.6494, 26.1316, 24.9514, 26.6494, 26.1316, 24.9514
26.6452, 26.1376, 24.9494, 26.6452, 26.1376, 24.9494
26.6411, 26.1437, 24.9475, 26.6411, 26.1437, 24.9475
26.6369, 26.1498, 24.9456, 26.6369, 26.1498, 24.9456
26.6327, 26.1558, 24.9438, 26.6327, 26.1558, 24.9438
26.6285, 26.1619, 24.9420, 26.6285, 26.1619, 24.9420
26.6242, 26.1679, 24.9402, 26.6242, 26.1679, 24.9402
26.6199, 26.1739, 24.9384, 26.6199, 26.1739, 24.9384
26.6156, 26.1799, 24.9368, 26.6156, 26.1799, 24.9368
26.6112, 26.1859, 24.9351, 26.6112, 26.1859, 24.9351
26.6069, 26.1919, 24.9335, 26.6069, 26.1919, 24.9335
26.6025, 26.1979, 24.9319, 26.6025, 26.1979, 24.9319
26.5980, 26.2038, 24.9304, 26.5980, 26.2038, 24.9304
26.5936, 26.2098, 24.9289, 26.5936, 26.2098, 24.9289
26.5891, 26.2157, 24.9274, 26.5891, 26.2157, 24.9274
26.5846, 26.2216, 24.9260, 26.5846, 26.2216, 24.9260
26.5800, 26.2275, 24.9246, 26.5800, 26.2275, 24.9246
26.5755, 26.2334, 24.9233, 26.5755, 26.2334, 24.9233
26.5709, 26.2393, 24.9220, 26.5709, 26.2393, 24.9220
26.5662, 26.2452, 24.9207, 26.5662, 26.2452, 24.9207
26.5616, 26.2510, 24.9195, 26.5616, 26.2510, 24.9195
26.5569, 26.2569, 24.9183, 26.5569, 26.2569, 24.9183
26.5522, 26.2627, 24.9172, 26.5522, 26.2627, 24.9172
